Polling firm                      | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PAS   | BECS  | PPȘ  | PN   | PPDA | PDA    | AUR | PDM   | Other
CBS Research                      | IDIS Viitorul | 2021-12-04      | 2021-12-15    | N     | 1055        | N/A           | 0.1       | 37.7  | 37.8  | 12.6 | 3.7  | 3.8  | N/A    | N/A | 0.6   | N/A
iData                             | N/A           | 2021-11-15      | 2021-11-25    | N     | 1047        | N/A           | 0.1       | 45.5  | 31.5  | 9.8  | 4.1  | 4.5  | N/A    | N/A | N/A   | N/A
IMAS                              | N/A           | 2021-10-23      | 2021-11-15    | N     | 710         | N/A           | 0.1       | 38.6  | 36.9  | 10.8 | 6.1  | 1.7  | 2.2    | 0.7 | 1.6   | N/A
iData                             | N/A           | 2021-10-08      | 2021-10-13    | N     | 1834        | N/A           | 0.1       | 51.5  | 27.5  | 6.7  | 5.7  | 4.2  | 0.7    | N/A | N/A   | N/A
iData                             | N/A           | 2021-09-12      | 2021-09-24    | N     | 1086        | N/A           | 0.1       | 50.1  | 29.1  | 10.2 | 3.0  | 4.1  | N/A    | 1.3 | N/A   | N/A
ASDM                              | N/A           | 2021-06-21      | 2021-07-02    | N     | 1181        | N/A           | 0.1       | 37.4  | 37.1  | 6.8  | 5.5  | 5.4  | 2.2    | 1.9 | 1.3   | N/A
BOP                               | N/A           | 2021-06-12      | 2021-06-27    | N     | 1161        | N/A           | 0.1       | 43.5  | 32.5  | 7.8  | 5.9  | 3.5  | 1.7    | 1.7 | 1.7   | N/A
Watchdog & IPP                    | N/A           | 2021-06-20      | 2021-06-30    | N     | 1201        | N/A           | 0.1       | 50.9  | 30.5  | 4.7  | 5.2  | 1.2  | 2.5    | 1.7 | 1.0   | N/A
ASDM                              | N/A           | 2021-06-10      | 2021-06-20    | N     | 1167        | N/A           | 0.1       | 38.5  | 36.7  | 6.9  | 5.2  | 4.4  | 1.2    | 1.1 | 1.4   | N/A
Watchdog & IPP                    | N/A           | 2021-06-12      | 2021-06-29    | N     | 1104        | N/A           | 0.1       | 49.8  | 28.0  | 4.7  | 6.3  | 1.8  | 2.4    | 1.7 | 1.0   | N/A
RDI                               | N/A           | 2021-05-21      | 2021-05-28    | N     | 1206        | N/A           | 0.1       | 38.6  | 36.3  | 8.9  | 4.3  | 3.9  | 2.4    | 3.2 | 2.4   | N/A
Watchdog & CBS-Axa                | N/A           | 2021-06-02      | 2021-06-08    | N     | 1154        | N/A           | 0.1       | 50.5  | 32.5  | 5.1  | 5.0  | 2.0  | 1.5    | 0.9 | 2.9   | N/A
ASDM                              | N/A           | 2021-05-24      | 2021-06-05    | N     | 1179        | N/A           | 0.1       | 36.5  | 36.1  | 7.3  | 4.8  | 4.4  | 1.2    | 1.2 | 2.2   | N/A
